id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,cr.nrr,gpp.nrr
7,A7,C,0,0,0,sponge,-6.17474103,1.91283168,0,,
10,B2,C,0,0,0,sponge,-2.072719851,0.917718403,0,,
24,C8,C,0,0,0,glass,-4.960852765,2.940334778,0.125709788,,
26,D2,C,0,0,0,sponge,-4.095311496,1.726108783,0,,
30,D6,C,0,0,0,glass,-1.708340526,0.15202942,0.001986624,,
44,F4,C,0,0,0,glass,-1.165509822,0.472694206,0.024533885,,
48,F8,C,0,0,0,sponge,-9.627732297,2.696490931,0,,
56,G8,C,0,0,0,glass,-0.611599697,0,0.943343722,,
62,H6,C,0,0,0,glass,-1.674886766,0.328809814,0.010661405,,
63,H7,C,0,0,0,glass,-0.877421464,0.200742454,0,,
65,I1,C,0,0,0,sponge,-6.858411226,2.219848559,0,,
12,B4,N,1,0,0,glass,-5.527494079,2.332370826,1.283248607,,
14,B6,N,1,0,0,sponge,-17.48768365,2.6254542,0,,
18,C2,N,1,0,0,glass,-3.799886663,12.68046573,0.326441796,,
29,D5,N,1,0,0,sponge,-15.86636116,0,0,,
33,E1,N,1,0,0,glass,-3.521325656,0,2.168925352,,
34,E2,N,1,0,0,glass,0,0,1.500581886,,
45,F5,N,1,0,0,glass,-5.881435889,0.334016686,4.309222712,,
54,G6,N,1,0,0,sponge,-23.37407291,5.077949159,0,,
58,H2,N,1,0,0,sponge,-12.30775745,0,0,,
79,J7,N,1,0,0,sponge,-16.7522597,0,0,,
9,B1,NP,1,1,0,glass,-7.038324436,3.032311507,0.498761208,,
36,E4,NP,1,1,0,glass,-1.319087528,0.309599933,0.476240831,,
39,E7,NP,1,1,0,sponge,-11.1115595,5.482183751,0,,
43,F3,NP,1,1,0,sponge,-17.93705862,0,0,,
47,F7,NP,1,1,0,sponge,-12.40439905,0,0,,
57,H1,NP,1,1,0,glass,-9.428021643,1.206806055,0.250938493,,
59,H3,NP,1,1,0,sponge,,,,,
60,H4,NP,1,1,0,glass,-9.270755362,5.923196868,0.542874439,,
72,I8,NP,1,1,0,sponge,,,,,
75,J3,NP,1,1,0,glass,-7.375990117,6.188205692,0.399671105,,
1,A1,NPSi,1,1,1,sponge,-17.46980137,8.933346071,0,,
2,A2,NPSi,1,1,1,sponge,-16.78242387,5.442217195,0,,
5,A5,NPSi,1,1,1,glass,-4.882200917,10.66362212,1.003802821,,
20,C4,NPSi,1,1,1,sponge,-14.63785841,7.958288033,0,,
28,D4,NPSi,1,1,1,sponge,-11.46053577,1.397928114,0,,
53,G5,NPSi,1,1,1,glass,-6.843795597,10.49391694,0.789449258,,
69,I5,NPSi,1,1,1,glass,-8.246436929,10.80709799,0.502262933,,
71,I7,NPSi,1,1,1,glass,-6.559944681,7.113000782,0.487700414,,
76,J4,NPSi,1,1,1,sponge,-26.3238782,4.91814132,0,,
77,J5,NPSi,1,1,1,glass,-12.0116967,1.880815155,0.93414021,,
3,A3,NSi,1,0,1,sponge,-3.497632471,0,0,,
8,A8,NSi,1,0,1,sponge,-8.506416226,0,0,,
21,C5,NSi,1,0,1,glass,-2.374974043,0.926548603,0.531479828,,
23,C7,NSi,1,0,1,glass,-2.331794872,0,0.224477275,,
32,D8,NSi,1,0,1,glass,0,0.051502898,0.406611825,,
55,G7,NSi,1,0,1,glass,-4.999954381,1.242438963,0.555046465,,
61,H5,NSi,1,0,1,sponge,-3.136906485,0.873483827,0,,
73,J1,NSi,1,0,1,sponge,0,0.901061477,0,,
78,J6,NSi,1,0,1,sponge,0,1.325890764,0,,
80,J8,NSi,1,0,1,glass,-3.404613513,0.083944083,0.482746917,,
6,A6,P,0,1,0,glass,-3.679290293,2.08858782,0.021363736,,
11,B3,P,0,1,0,sponge,-4.102140855,1.918905758,0,,
15,B7,P,0,1,0,glass,-2.202257362,0.918726708,0.01710924,,
22,C6,P,0,1,0,glass,-3.400919941,1.597057318,0,,
37,E5,P,0,1,0,glass,-3.511431999,1.41544097,0.013363312,,
49,G1,P,0,1,0,sponge,-7.115509999,3.817611381,0,,
50,G2,P,0,1,0,sponge,-5.75082053,2.170589807,0,,
51,G3,P,0,1,0,glass,-4.559213627,1.774257514,0.002058316,,
64,H8,P,0,1,0,sponge,-4.9090516,0.705371582,0,,
67,I3,P,0,1,0,sponge,-7.311189664,2.735064754,0,,
17,C1,PSi,0,1,1,glass,-4.879365921,1.808363492,0.020662495,,
25,D1,PSi,0,1,1,sponge,-6.487623941,1.99172865,0,,
27,D3,PSi,0,1,1,glass,-4.001168026,0.512715766,0.005194859,,
38,E6,PSi,0,1,1,glass,-4.917230731,1.599822761,0.014483506,,
40,E8,PSi,0,1,1,sponge,-10.30769986,1.14493939,0,,
42,F2,PSi,0,1,1,sponge,-9.054769317,3.27939329,0,,
66,I2,PSi,0,1,1,glass,-5.75082053,1.442599476,0.024193346,,
68,I4,PSi,0,1,1,glass,-5.796979807,1.773440168,0.013809149,,
70,I6,PSi,0,1,1,sponge,-9.315290946,4.007549424,0,,
74,J2,PSi,0,1,1,sponge,-10.36539314,3.340112312,0,,
4,A4,Si,0,0,1,glass,-3.206718263,1.323232335,0.231572583,,
13,B5,Si,0,0,1,glass,-2.115899021,0.036355643,0.233772644,,
16,B8,Si,0,0,1,glass,-1.209136444,0,0.165761197,,
19,C3,Si,0,0,1,sponge,-3.238557449,0.82314056,0,,
31,D7,Si,0,0,1,sponge,0,0.39288544,0,,
35,E3,Si,0,0,1,sponge,0,1.705338706,0,,
41,F1,Si,0,0,1,sponge,-0.968312412,0,0,,
46,F6,Si,0,0,1,sponge,-5.749213662,0.029950085,0,,
52,G4,Si,0,0,1,glass,-3.677732119,0.692942155,0.208044032,,
